ID_date,ID_offre,ID_region,ID_segment,nouveaux_abonnes,abonnes_actifs,desabonnements
4582,1,3,2,112,113386,18
387,2,1,4,475,113277,34
797,3,4,6,24,290499,68
2635,4,2,5,74,96166,41
1024,1,1,3,150,150000,12
1025,2,2,4,200,200000,25
1026,3,3,2,50,50000,5
1027,4,4,5,300,300000,50
2001,1,2,3,120,125000,15
2002,2,3,4,180,180000,20
2003,3,4,2,90,90000,10
2004,4,1,5,400,400000,60
3001,1,4,3,110,110000,14
3002,2,1,4,210,210000,30
3003,3,2,2,60,60000,6
3004,4,3,5,310,310000,55
4001,1,3,3,130,130000,16
4002,2,4,4,190,190000,22
4003,3,1,2,80,80000,8
4004,4,2,5,350,350000,58
